"filename", "language", "TypeScript", "JSON", "SCSS", "HTML", "comment", "blank", "total"
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/record/IReceivedData_recordWrite.ts", "TypeScript", 23, 0, 0, 0, 0, 2, 25
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/record/relation.ts", "TypeScript", 13, 0, 0, 0, 0, 2, 15
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/relation.ts", "TypeScript", 26, 0, 0, 0, 0, 5, 31
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/api/transmissionBase.ts", "TypeScript", 12, 0, 0, 0, 0, 2, 14
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/foundation/IGameSystemEnvironment.ts", "TypeScript", 15, 0, 0, 0, 1, 0, 16
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/foundation/IRegulation.ts", "TypeScript", 16, 0, 0, 0, 0, 1, 17
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/foundation/icooonResolvable.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 3
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/list/IAbilityItem.ts", "TypeScript", 3, 0, 0, 0, 0, 2, 5
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/list/IGameDifficultyItem.ts", "TypeScript", 4, 0, 0, 0, 0, 2, 6
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/list/IGameModeItem.ts", "TypeScript", 21, 0, 0, 0, 3, 2, 26
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/list/IGameSystemInfo.ts", "TypeScript", 22, 0, 0, 0, 0, 3, 25
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/list/IItemOfResolveTableToName.ts", "TypeScript", 12, 0, 0, 0, 0, 1, 13
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/list/ITargetItem.ts", "TypeScript", 3, 0, 0, 0, 0, 2, 5
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/record/IRecord.ts", "TypeScript", 36, 0, 0, 0, 4, 3, 43
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/record/IRecordGroupResolved.ts", "TypeScript", 9, 0, 0, 0, 0, 2, 11
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/record/IRunner.ts", "TypeScript", 15, 0, 0, 0, 0, 1, 16
"/Users/AppleBird/Desktop/VSCodeProject/kss-recorders/src/ts/type/record/OrderOfRecordArray.ts", "TypeScript", 1, 0, 0, 0, 1, 1, 3
